contig  chromosome
RXNX01016884	NW_022590986.1
RXNX01016885	NW_022590987.1
RXNX01016886	NW_022590988.1
RXNX01016887	NW_022590989.1
RXNX01016888	NW_022590990.1
RXNX01016889	NW_022590991.1
RXNX01016890	NW_022590992.1
RXNX01016891	NW_022590993.1
RXNX01016892	NW_022590994.1
RXNX01016895	NW_022590996.1
RXNX01016896	NW_022590997.1
RXNX01016897	NW_022590998.1
RXNX01016898	NW_022590999.1
RXNX01016899	NW_022591000.1
RXNX01016900	NW_022591001.1
RXNX01016901	NW_022591002.1
RXNX01016902	NW_022591003.1
RXNX01016903	NW_022591004.1
RXNX01016904	NW_022591005.1
RXNX01016905	NW_022591006.1
RXNX01016906	NW_022591007.1
RXNX01016907	NW_022591008.1
RXNX01016908	NW_022591009.1
RXNX01016909	NW_022591010.1
RXNX01016910	NW_022591011.1
RXNX01016913	NW_022591013.1
RXNX01016914	NW_022591014.1
RXNX01016915	NW_022591015.1
RXNX01016916	NW_022591016.1
RXNX01016917	NW_022591017.1
RXNX01016918	NW_022591018.1
RXNX01016919	NW_022591019.1
RXNX01016920	NW_022591020.1
RXNX01016921	NW_022591021.1
RXNX01016922	NW_022591022.1
RXNX01016923	NW_022591023.1
RXNX01016924	NW_022591024.1
RXNX01016925	NW_022591025.1
RXNX01016926	NW_022591026.1
RXNX01016927	NW_022591027.1
RXNX01016928	NW_022591028.1
RXNX01016929	NW_022591029.1
RXNX01016930	NW_022591030.1
RXNX01016931	NW_022591031.1
RXNX01016932	NW_022591032.1
RXNX01016933	NW_022591033.1
RXNX01016934	NW_022591034.1
RXNX01016935	NW_022591035.1
RXNX01016936	NW_022591036.1
RXNX01016937	NW_022591037.1
RXNX01016938	NW_022591038.1
RXNX01016939	NW_022591039.1
RXNX01016940	NW_022591040.1
RXNX01016941	NW_022591041.1
RXNX01016948	NW_022591045.1
RXNX01016949	NW_022591046.1
RXNX01016950	NW_022591047.1
RXNX01016951	NW_022591048.1
RXNX01016952	NW_022591049.1
RXNX01016953	NW_022591050.1
RXNX01016954	NW_022591051.1
RXNX01016955	NW_022591052.1
RXNX01016956	NW_022591053.1
RXNX01016957	NW_022591054.1
RXNX01016963	NW_022591057.1
RXNX01016964	NW_022591058.1
RXNX01016965	NW_022591059.1
RXNX01016966	NW_022591060.1
RXNX01016970	NW_022591062.1
RXNX01016971	NW_022591063.1
RXNX01016972	NW_022591064.1
RXNX01016973	NW_022591065.1
RXNX01016974	NW_022591066.1
RXNX01016981	NW_022591069.1
RXNX01016982	NW_022591070.1
RXNX01016983	NW_022591071.1
RXNX01016984	NW_022591072.1
RXNX01016985	NW_022591073.1
RXNX01016986	NW_022591074.1
RXNX01016987	NW_022591075.1
RXNX01016988	NW_022591076.1
RXNX01016989	NW_022591077.1
RXNX01016990	NW_022591078.1
RXNX01016991	NW_022591079.1
RXNX01016992	NW_022591080.1
RXNX01016993	NW_022591081.1
RXNX01016994	NW_022591082.1
RXNX01016995	NW_022591083.1
RXNX01016996	NW_022591084.1
RXNX01016997	NW_022591085.1
RXNX01016998	NW_022591086.1
RXNX01016999	NW_022591087.1
RXNX01017002	NW_022591089.1
RXNX01017003	NW_022591090.1
RXNX01017004	NW_022591091.1
RXNX01017005	NW_022591092.1
RXNX01017006	NW_022591093.1
RXNX01017007	NW_022591094.1
RXNX01017008	NW_022591095.1
RXNX01017009	NW_022591096.1
RXNX01017010	NW_022591097.1
RXNX01017011	NW_022591098.1
RXNX01017012	NW_022591099.1
RXNX01017013	NW_022591100.1
RXNX01017016	NW_022591102.1
RXNX01017019	NW_022591104.1
RXNX01017020	NW_022591105.1
RXNX01017021	NW_022591106.1
RXNX01017022	NW_022591107.1
RXNX01017023	NW_022591108.1
RXNX01017024	NW_022591109.1
RXNX01017025	NW_022591110.1
RXNX01017026	NW_022591111.1
RXNX01017027	NW_022591112.1
RXNX01017028	NW_022591113.1
RXNX01017031	NW_022591115.1
RXNX01017032	NW_022591116.1
RXNX01017033	NW_022591117.1
RXNX01017034	NW_022591118.1
RXNX01017035	NW_022591119.1
RXNX01017036	NW_022591120.1
RXNX01017037	NW_022591121.1
RXNX01017038	NW_022591122.1
RXNX01017039	NW_022591123.1
RXNX01017040	NW_022591124.1
RXNX01017041	NW_022591125.1
RXNX01017042	NW_022591126.1
RXNX01017043	NW_022591127.1
RXNX01017044	NW_022591128.1
RXNX01017045	NW_022591129.1
RXNX01017046	NW_022591130.1
RXNX01017047	NW_022591131.1
RXNX01017048	NW_022591132.1
RXNX01017049	NW_022591133.1
RXNX01017050	NW_022591134.1
RXNX01017051	NW_022591135.1
RXNX01017052	NW_022591136.1
RXNX01017053	NW_022591137.1
RXNX01017056	NW_022591139.1
RXNX01017057	NW_022591140.1
RXNX01017062	NW_022591143.1
RXNX01017063	NW_022591144.1
RXNX01017064	NW_022591145.1
RXNX01017065	NW_022591146.1
RXNX01017066	NW_022591147.1
RXNX01017067	NW_022591148.1
RXNX01017068	NW_022591149.1
RXNX01017069	NW_022591150.1
RXNX01017070	NW_022591151.1
RXNX01017071	NW_022591152.1
RXNX01017072	NW_022591153.1
RXNX01017073	NW_022591154.1
RXNX01017074	NW_022591155.1
RXNX01017077	NW_022591157.1
RXNX01017078	NW_022591158.1
RXNX01017079	NW_022591159.1
RXNX01017080	NW_022591160.1
RXNX01017081	NW_022591161.1
RXNX01017082	NW_022591162.1
RXNX01017085	NW_022591164.1
RXNX01017088	NW_022591166.1
RXNX01017089	NW_022591167.1
RXNX01017090	NW_022591168.1
RXNX01017091	NW_022591169.1
RXNX01017092	NW_022591170.1
RXNX01017093	NW_022591171.1
RXNX01017094	NW_022591172.1
RXNX01017095	NW_022591173.1
RXNX01017102	NW_022591177.1
RXNX01017106	NW_022591179.1
RXNX01017107	NW_022591180.1
RXNX01017108	NW_022591181.1
RXNX01017109	NW_022591182.1
RXNX01017112	NW_022591184.1
RXNX01017113	NW_022591185.1
RXNX01017114	NW_022591186.1
RXNX01017115	NW_022591187.1
RXNX01017116	NW_022591188.1
RXNX01017117	NW_022591189.1
RXNX01017125	NW_022591193.1
RXNX01017126	NW_022591194.1
RXNX01017127	NW_022591195.1
RXNX01017128	NW_022591196.1
RXNX01017131	NW_022591198.1
RXNX01017132	NW_022591199.1
RXNX01017133	NW_022591200.1
RXNX01017134	NW_022591201.1
RXNX01017137	NW_022591203.1
RXNX01017138	NW_022591204.1
RXNX01017139	NW_022591205.1
RXNX01017140	NW_022591206.1
RXNX01017141	NW_022591207.1
RXNX01017142	NW_022591208.1
RXNX01017143	NW_022591209.1
RXNX01017144	NW_022591210.1
RXNX01017145	NW_022591211.1
RXNX01017146	NW_022591212.1
RXNX01017147	NW_022591213.1
RXNX01017148	NW_022591214.1
RXNX01017149	NW_022591215.1
RXNX01017150	NW_022591216.1
RXNX01017151	NW_022591217.1
RXNX01017152	NW_022591218.1
RXNX01017153	NW_022591219.1
RXNX01017154	NW_022591220.1
RXNX01017155	NW_022591221.1
RXNX01017156	NW_022591222.1
RXNX01017157	NW_022591223.1
RXNX01017158	NW_022591224.1
RXNX01017159	NW_022591225.1
RXNX01017160	NW_022591226.1
RXNX01017161	NW_022591227.1
RXNX01017162	NW_022591228.1
RXNX01017169	NW_022591231.1
RXNX01017170	NW_022591232.1
RXNX01017171	NW_022591233.1
RXNX01017172	NW_022591234.1
RXNX01017173	NW_022591235.1
RXNX01017176	NW_022591237.1
RXNX01017177	NW_022591238.1
RXNX01017178	NW_022591239.1
RXNX01017179	NW_022591240.1
RXNX01017180	NW_022591241.1
RXNX01017181	NW_022591242.1
RXNX01017184	NW_022591244.1
RXNX01017185	NW_022591245.1
RXNX01017186	NW_022591246.1
RXNX01017187	NW_022591247.1
RXNX01017188	NW_022591248.1
RXNX01017189	NW_022591249.1
RXNX01017190	NW_022591250.1
RXNX01017191	NW_022591251.1
RXNX01017192	NW_022591252.1
RXNX01017193	NW_022591253.1
RXNX01017196	NW_022591255.1
RXNX01017197	NW_022591256.1
RXNX01017198	NW_022591257.1
RXNX01017199	NW_022591258.1
RXNX01017200	NW_022591259.1
RXNX01017201	NW_022591260.1
RXNX01017202	NW_022591261.1
RXNX01017203	NW_022591262.1
RXNX01017204	NW_022591263.1
RXNX01017205	NW_022591264.1
RXNX01017206	NW_022591265.1
RXNX01017207	NW_022591266.1
RXNX01017213	NW_022591269.1
RXNX01017214	NW_022591270.1
RXNX01017215	NW_022591271.1
RXNX01017216	NW_022591272.1
RXNX01017217	NW_022591273.1
RXNX01017218	NW_022591274.1
RXNX01017219	NW_022591275.1
RXNX01017220	NW_022591276.1
RXNX01017221	NW_022591277.1
RXNX01017222	NW_022591278.1
RXNX01017223	NW_022591279.1
RXNX01017224	NW_022591280.1
RXNX01017225	NW_022591281.1
RXNX01017226	NW_022591282.1
RXNX01017227	NW_022591283.1
RXNX01017228	NW_022591284.1
RXNX01017231	NW_022591286.1
RXNX01017232	NW_022591287.1
RXNX01017233	NW_022591288.1
RXNX01017234	NW_022591289.1
RXNX01017237	NW_022591291.1
RXNX01017238	NW_022591292.1
RXNX01017239	NW_022591293.1
RXNX01017240	NW_022591294.1
RXNX01017241	NW_022591295.1
RXNX01017242	NW_022591296.1
RXNX01017243	NW_022591297.1
RXNX01017246	NW_022591299.1
RXNX01017247	NW_022591300.1
RXNX01017248	NW_022591301.1
RXNX01017249	NW_022591302.1
RXNX01017250	NW_022591303.1
RXNX01017251	NW_022591304.1
RXNX01017252	NW_022591305.1
RXNX01017253	NW_022591306.1
RXNX01017254	NW_022591307.1
RXNX01017255	NW_022591308.1
RXNX01017256	NW_022591309.1
RXNX01017257	NW_022591310.1
RXNX01017258	NW_022591311.1
RXNX01017259	NW_022591312.1
RXNX01017260	NW_022591313.1
RXNX01017261	NW_022591314.1
RXNX01017262	NW_022591315.1
RXNX01017263	NW_022591316.1
RXNX01017264	NW_022591317.1
RXNX01017267	NW_022591319.1
RXNX01017268	NW_022591320.1
RXNX01017269	NW_022591321.1
RXNX01017270	NW_022591322.1
RXNX01017271	NW_022591323.1
RXNX01017272	NW_022591324.1
RXNX01017273	NW_022591325.1
RXNX01017277	NW_022591327.1
RXNX01017284	NW_022591331.1
RXNX01017285	NW_022591332.1
RXNX01017286	NW_022591333.1
RXNX01017287	NW_022591334.1
RXNX01017288	NW_022591335.1
RXNX01017289	NW_022591336.1
RXNX01017290	NW_022591337.1
RXNX01017291	NW_022591338.1
RXNX01017292	NW_022591339.1
RXNX01017293	NW_022591340.1
RXNX01017294	NW_022591341.1
RXNX01017295	NW_022591342.1
RXNX01017296	NW_022591343.1
RXNX01017297	NW_022591344.1
RXNX01017301	NW_022591346.1
RXNX01017302	NW_022591347.1
RXNX01017303	NW_022591348.1
RXNX01017304	NW_022591349.1
RXNX01017305	NW_022591350.1
RXNX01017306	NW_022591351.1
RXNX01017307	NW_022591352.1
RXNX01017308	NW_022591353.1
RXNX01017309	NW_022591354.1
RXNX01017310	NW_022591355.1
RXNX01017311	NW_022591356.1
RXNX01017314	NW_022591358.1
RXNX01017315	NW_022591359.1
RXNX01017316	NW_022591360.1
RXNX01017317	NW_022591361.1
RXNX01017318	NW_022591362.1
RXNX01017319	NW_022591363.1
RXNX01017324	NW_022591366.1
RXNX01017325	NW_022591367.1
RXNX01017326	NW_022591368.1
RXNX01017327	NW_022591369.1
RXNX01017328	NW_022591370.1
RXNX01017329	NW_022591371.1
RXNX01017330	NW_022591372.1
RXNX01017331	NW_022591373.1
RXNX01017332	NW_022591374.1
RXNX01017336	NW_022591376.1
RXNX01017337	NW_022591377.1
RXNX01017338	NW_022591378.1
RXNX01017339	NW_022591379.1
RXNX01017340	NW_022591380.1
RXNX01017341	NW_022591381.1
RXNX01017342	NW_022591382.1
RXNX01017343	NW_022591383.1
RXNX01017344	NW_022591384.1
RXNX01017347	NW_022591386.1
RXNX01017348	NW_022591387.1
RXNX01017349	NW_022591388.1
RXNX01017350	NW_022591389.1
RXNX01017351	NW_022591390.1
RXNX01017352	NW_022591391.1
RXNX01017353	NW_022591392.1
RXNX01017354	NW_022591393.1
RXNX01017355	NW_022591394.1
RXNX01017356	NW_022591395.1
RXNX01017357	NW_022591396.1
RXNX01017360	NW_022591398.1
RXNX01017361	NW_022591399.1
RXNX01017362	NW_022591400.1
RXNX01017363	NW_022591401.1
RXNX01017364	NW_022591402.1
RXNX01017365	NW_022591403.1
RXNX01017366	NW_022591404.1
RXNX01017367	NW_022591405.1
RXNX01017368	NW_022591406.1
RXNX01017369	NW_022591407.1
RXNX01017370	NW_022591408.1
RXNX01017371	NW_022591409.1
RXNX01017374	NW_022591411.1
RXNX01017375	NW_022591412.1
RXNX01017376	NW_022591413.1
RXNX01017377	NW_022591414.1
RXNX01017378	NW_022591415.1
RXNX01017379	NW_022591416.1
RXNX01017380	NW_022591417.1
RXNX01017381	NW_022591418.1
RXNX01017382	NW_022591419.1
RXNX01017383	NW_022591420.1
RXNX01017384	NW_022591421.1
RXNX01017385	NW_022591422.1
RXNX01017386	NW_022591423.1
RXNX01017387	NW_022591424.1
RXNX01017394	NW_022591428.1
RXNX01017395	NW_022591429.1
RXNX01017396	NW_022591430.1
RXNX01017397	NW_022591431.1
RXNX01017398	NW_022591432.1
RXNX01017399	NW_022591433.1
RXNX01017400	NW_022591434.1
RXNX01017401	NW_022591435.1
RXNX01017402	NW_022591436.1
RXNX01017406	NW_022591438.1
RXNX01017407	NW_022591439.1
RXNX01017408	NW_022591440.1
RXNX01017409	NW_022591441.1
RXNX01017410	NW_022591442.1
RXNX01017411	NW_022591443.1
RXNX01017412	NW_022591444.1
RXNX01017413	NW_022591445.1
RXNX01017414	NW_022591446.1
RXNX01017415	NW_022591447.1
RXNX01017416	NW_022591448.1
RXNX01017417	NW_022591449.1
RXNX01017418	NW_022591450.1
RXNX01017419	NW_022591451.1
RXNX01017420	NW_022591452.1
RXNX01017421	NW_022591453.1
RXNX01017422	NW_022591454.1
RXNX01017423	NW_022591455.1
RXNX01017424	NW_022591456.1
RXNX01017425	NW_022591457.1
RXNX01017426	NW_022591458.1
RXNX01017427	NW_022591459.1
RXNX01017430	NW_022591461.1
RXNX01017433	NW_022591463.1
RXNX01017434	NW_022591464.1
RXNX01017435	NW_022591465.1
RXNX01017436	NW_022591466.1
RXNX01017437	NW_022591467.1
RXNX01017438	NW_022591468.1
RXNX01017439	NW_022591469.1
RXNX01017440	NW_022591470.1
RXNX01017441	NW_022591471.1
RXNX01017442	NW_022591472.1
RXNX01017445	NW_022591474.1
RXNX01017446	NW_022591475.1
RXNX01017447	NW_022591476.1
RXNX01017448	NW_022591477.1
RXNX01017451	NW_022591479.1
RXNX01017452	NW_022591480.1
RXNX01017453	NW_022591481.1
RXNX01017454	NW_022591482.1
RXNX01017455	NW_022591483.1
RXNX01017456	NW_022591484.1
RXNX01017457	NW_022591485.1
RXNX01017458	NW_022591486.1
RXNX01017461	NW_022591488.1
RXNX01017462	NW_022591489.1
RXNX01017465	NW_022591491.1
RXNX01017466	NW_022591492.1
RXNX01017467	NW_022591493.1
RXNX01017468	NW_022591494.1
RXNX01017469	NW_022591495.1
RXNX01017470	NW_022591496.1
RXNX01017471	NW_022591497.1
RXNX01017474	NW_022591499.1
RXNX01017475	NW_022591500.1
RXNX01017478	NW_022591502.1
RXNX01017479	NW_022591503.1
RXNX01017480	NW_022591504.1
RXNX01017481	NW_022591505.1
RXNX01017482	NW_022591506.1
RXNX01017483	NW_022591507.1
RXNX01017490	NW_022591511.1
RXNX01017491	NW_022591512.1
RXNX01017496	NW_022591515.1
RXNX01017497	NW_022591516.1
RXNX01017498	NW_022591517.1
RXNX01017499	NW_022591518.1
RXNX01017500	NW_022591519.1
RXNX01017501	NW_022591520.1
RXNX01017502	NW_022591521.1
RXNX01017503	NW_022591522.1
RXNX01017504	NW_022591523.1
RXNX01017505	NW_022591524.1
RXNX01017506	NW_022591525.1
RXNX01017507	NW_022591526.1
RXNX01017508	NW_022591527.1
RXNX01017509	NW_022591528.1
RXNX01017510	NW_022591529.1
RXNX01017511	NW_022591530.1
RXNX01017512	NW_022591531.1
RXNX01017513	NW_022591532.1
RXNX01017514	NW_022591533.1
RXNX01017515	NW_022591534.1
RXNX01017516	NW_022591535.1
RXNX01017517	NW_022591536.1
RXNX01017522	NW_022591538.1
RXNX01017523	NW_022591539.1
RXNX01017524	NW_022591540.1
RXNX01017525	NW_022591541.1
RXNX01017526	NW_022591542.1
RXNX01017527	NW_022591543.1
RXNX01017528	NW_022591544.1
RXNX01017529	NW_022591545.1
RXNX01017530	NW_022591546.1
RXNX01017531	NW_022591547.1
RXNX01017532	NW_022591548.1
RXNX01017533	NW_022591549.1
RXNX01017534	NW_022591550.1
RXNX01017535	NW_022591551.1
RXNX01017536	NW_022591552.1
RXNX01017537	NW_022591553.1
RXNX01017538	NW_022591554.1
RXNX01017539	NW_022591555.1
RXNX01017540	NW_022591556.1
RXNX01017541	NW_022591557.1
RXNX01017542	NW_022591558.1
RXNX01017543	NW_022591559.1
RXNX01017544	NW_022591560.1
RXNX01017547	NW_022591562.1
RXNX01017548	NW_022591563.1
RXNX01017549	NW_022591564.1
RXNX01017550	NW_022591565.1
RXNX01017551	NW_022591566.1
RXNX01017552	NW_022591567.1
RXNX01017555	NW_022591569.1
RXNX01017556	NW_022591570.1
RXNX01017557	NW_022591571.1
RXNX01017558	NW_022591572.1
RXNX01017559	NW_022591573.1
RXNX01017560	NW_022591574.1
RXNX01017561	NW_022591575.1
RXNX01017562	NW_022591576.1
RXNX01017563	NW_022591577.1
RXNX01017564	NW_022591578.1
RXNX01017567	NW_022591580.1
RXNX01017570	NW_022591582.1
RXNX01017571	NW_022591583.1
RXNX01017572	NW_022591584.1
RXNX01017573	NW_022591585.1
RXNX01017574	NW_022591586.1
RXNX01017575	NW_022591587.1
RXNX01017576	NW_022591588.1
RXNX01017579	NW_022591590.1
RXNX01017580	NW_022591591.1
RXNX01017581	NW_022591592.1
RXNX01017582	NW_022591593.1
RXNX01017583	NW_022591594.1
RXNX01017586	NW_022591596.1
RXNX01017587	NW_022591597.1
RXNX01017588	NW_022591598.1
RXNX01017591	NW_022591600.1
RXNX01017592	NW_022591601.1
RXNX01017593	NW_022591602.1
RXNX01017594	NW_022591603.1
RXNX01017595	NW_022591604.1
RXNX01017598	NW_022591606.1
RXNX01017601	NW_022591608.1
RXNX01017602	NW_022591609.1
RXNX01017603	NW_022591610.1
RXNX01017604	NW_022591611.1
RXNX01017605	NW_022591612.1
RXNX01017608	NW_022591614.1
RXNX01017609	NW_022591615.1
RXNX01017610	NW_022591616.1
RXNX01017611	NW_022591617.1
RXNX01017612	NW_022591618.1
RXNX01017613	NW_022591619.1
RXNX01017614	NW_022591620.1
RXNX01017615	NW_022591621.1
RXNX01017616	NW_022591622.1
RXNX01017621	NW_022591625.1
RXNX01017626	NW_022591628.1
RXNX01017627	NW_022591629.1
RXNX01017628	NW_022591630.1
RXNX01017629	NW_022591631.1
RXNX01017630	NW_022591632.1
RXNX01017631	NW_022591633.1
RXNX01017632	NW_022591634.1
RXNX01017633	NW_022591635.1
RXNX01017634	NW_022591636.1
RXNX01017635	NW_022591637.1
RXNX01017636	NW_022591638.1
RXNX01017637	NW_022591639.1
RXNX01017638	NW_022591640.1
RXNX01017639	NW_022591641.1
RXNX01017640	NW_022591642.1
RXNX01017641	NW_022591643.1
RXNX01017642	NW_022591644.1
RXNX01017643	NW_022591645.1
RXNX01017644	NW_022591646.1
RXNX01017645	NW_022591647.1
RXNX01017646	NW_022591648.1
RXNX01017647	NW_022591649.1
RXNX01017648	NW_022591650.1
RXNX01017649	NW_022591651.1
RXNX01017650	NW_022591652.1
RXNX01017651	NW_022591653.1
RXNX01017652	NW_022591654.1
RXNX01017653	NW_022591655.1
RXNX01017654	NW_022591656.1
RXNX01017655	NW_022591657.1
RXNX01017656	NW_022591658.1
RXNX01017657	NW_022591659.1
RXNX01017658	NW_022591660.1
RXNX01017659	NW_022591661.1
RXNX01017660	NW_022591662.1
RXNX01017661	NW_022591663.1
RXNX01017662	NW_022591664.1
RXNX01017665	NW_022591666.1
RXNX01017666	NW_022591667.1
RXNX01017671	NW_022591670.1
RXNX01017672	NW_022591671.1
RXNX01017673	NW_022591672.1
RXNX01017674	NW_022591673.1
RXNX01017675	NW_022591674.1
RXNX01017676	NW_022591675.1
RXNX01017677	NW_022591676.1
RXNX01017678	NW_022591677.1
RXNX01017679	NW_022591678.1
RXNX01017680	NW_022591679.1
RXNX01017681	NW_022591680.1
RXNX01017684	NW_022591682.1
RXNX01017685	NW_022591683.1
RXNX01017686	NW_022591684.1
RXNX01017687	NW_022591685.1
RXNX01017688	NW_022591686.1
RXNX01017689	NW_022591687.1
RXNX01017690	NW_022591688.1
RXNX01017691	NW_022591689.1
RXNX01017692	NW_022591690.1
RXNX01017693	NW_022591691.1
RXNX01017694	NW_022591692.1
RXNX01017695	NW_022591693.1
RXNX01017696	NW_022591694.1
RXNX01017697	NW_022591695.1
RXNX01017698	NW_022591696.1
RXNX01017699	NW_022591697.1
RXNX01017700	NW_022591698.1
RXNX01017701	NW_022591699.1
RXNX01017702	NW_022591700.1
RXNX01017703	NW_022591701.1
RXNX01017704	NW_022591702.1
RXNX01017705	NW_022591703.1
RXNX01017706	NW_022591704.1
RXNX01017709	NW_022591706.1
RXNX01017710	NW_022591707.1
RXNX01017711	NW_022591708.1
RXNX01017712	NW_022591709.1
RXNX01017713	NW_022591710.1
RXNX01017714	NW_022591711.1
RXNX01017715	NW_022591712.1
RXNX01017716	NW_022591713.1
RXNX01017717	NW_022591714.1
RXNX01017718	NW_022591715.1
RXNX01017719	NW_022591716.1
RXNX01017720	NW_022591717.1
RXNX01017721	NW_022591718.1
RXNX01017722	NW_022591719.1
RXNX01017723	NW_022591720.1
RXNX01017724	NW_022591721.1
RXNX01017725	NW_022591722.1
RXNX01017726	NW_022591723.1
RXNX01017727	NW_022591724.1
RXNX01017728	NW_022591725.1
RXNX01017729	NW_022591726.1
RXNX01017730	NW_022591727.1
RXNX01017731	NW_022591728.1
RXNX01017732	NW_022591729.1
RXNX01017733	NW_022591730.1
RXNX01017734	NW_022591731.1
RXNX01017735	NW_022591732.1
RXNX01017736	NW_022591733.1
RXNX01017737	NW_022591734.1
RXNX01017738	NW_022591735.1
RXNX01017739	NW_022591736.1
RXNX01017740	NW_022591737.1
RXNX01017744	NW_022591739.1
RXNX01017745	NW_022591740.1
RXNX01017746	NW_022591741.1
RXNX01017747	NW_022591742.1
RXNX01017748	NW_022591743.1
RXNX01017751	NW_022591745.1
RXNX01017756	NW_022591748.1
RXNX01017757	NW_022591749.1
RXNX01017758	NW_022591750.1
RXNX01017759	NW_022591751.1
RXNX01017760	NW_022591752.1
RXNX01017761	NW_022591753.1
RXNX01017762	NW_022591754.1
RXNX01017763	NW_022591755.1
RXNX01017764	NW_022591756.1
RXNX01017765	NW_022591757.1
RXNX01017766	NW_022591758.1
RXNX01017767	NW_022591759.1
RXNX01017768	NW_022591760.1
RXNX01017769	NW_022591761.1
RXNX01017770	NW_022591762.1
RXNX01017771	NW_022591763.1
RXNX01017772	NW_022591764.1
RXNX01017773	NW_022591765.1
RXNX01017774	NW_022591766.1
RXNX01017775	NW_022591767.1
RXNX01017776	NW_022591768.1
RXNX01017777	NW_022591769.1
RXNX01017778	NW_022591770.1
RXNX01017779	NW_022591771.1
RXNX01017780	NW_022591772.1
RXNX01017781	NW_022591773.1
RXNX01017782	NW_022591774.1
RXNX01017783	NW_022591775.1
RXNX01017784	NW_022591776.1
RXNX01017785	NW_022591777.1
RXNX01017786	NW_022591778.1
RXNX01017787	NW_022591779.1
RXNX01017788	NW_022591780.1
RXNX01017789	NW_022591781.1
RXNX01017790	NW_022591782.1
RXNX01017791	NW_022591783.1
RXNX01017792	NW_022591784.1
RXNX01017793	NW_022591785.1
RXNX01017794	NW_022591786.1
RXNX01017795	NW_022591787.1
RXNX01017796	NW_022591788.1
RXNX01017797	NW_022591789.1
RXNX01017798	NW_022591790.1
RXNX01017799	NW_022591791.1
RXNX01017800	NW_022591792.1
RXNX01017803	NW_022591794.1
RXNX01017808	NW_022591797.1
RXNX01017809	NW_022591798.1
RXNX01017810	NW_022591799.1
RXNX01017811	NW_022591800.1
RXNX01017812	NW_022591801.1
RXNX01017813	NW_022591802.1
RXNX01017814	NW_022591803.1
RXNX01017815	NW_022591804.1
RXNX01017816	NW_022591805.1
RXNX01017817	NW_022591806.1
RXNX01017818	NW_022591807.1
RXNX01017819	NW_022591808.1
RXNX01017820	NW_022591809.1
RXNX01017821	NW_022591810.1
RXNX01017822	NW_022591811.1
RXNX01017823	NW_022591812.1
RXNX01017824	NW_022591813.1
RXNX01017825	NW_022591814.1
RXNX01017826	NW_022591815.1
RXNX01017827	NW_022591816.1
RXNX01017828	NW_022591817.1
RXNX01017831	NW_022591819.1
RXNX01017834	NW_022591821.1
RXNX01017835	NW_022591822.1
RXNX01017836	NW_022591823.1
RXNX01017837	NW_022591824.1
RXNX01017840	NW_022591826.1
RXNX01017841	NW_022591827.1
RXNX01017842	NW_022591828.1
RXNX01017843	NW_022591829.1
RXNX01017844	NW_022591830.1
RXNX01017848	NW_022591832.1
RXNX01017849	NW_022591833.1
RXNX01017852	NW_022591835.1
RXNX01017853	NW_022591836.1
RXNX01017854	NW_022591837.1
RXNX01017855	NW_022591838.1
RXNX01017856	NW_022591839.1
RXNX01017857	NW_022591840.1
RXNX01017858	NW_022591841.1
RXNX01017859	NW_022591842.1
RXNX01017860	NW_022591843.1
RXNX01017861	NW_022591844.1
RXNX01017862	NW_022591845.1
RXNX01017863	NW_022591846.1
RXNX01017864	NW_022591847.1
RXNX01017865	NW_022591848.1
RXNX01017866	NW_022591849.1
RXNX01017867	NW_022591850.1
RXNX01017868	NW_022591851.1
RXNX01017869	NW_022591852.1
RXNX01017870	NW_022591853.1
RXNX01017871	NW_022591854.1
RXNX01017872	NW_022591855.1
RXNX01017873	NW_022591856.1
RXNX01017874	NW_022591857.1
RXNX01017875	NW_022591858.1
RXNX01017876	NW_022591859.1
RXNX01017877	NW_022591860.1
RXNX01017878	NW_022591861.1
RXNX01017879	NW_022591862.1
RXNX01017880	NW_022591863.1
RXNX01017881	NW_022591864.1
RXNX01017882	NW_022591865.1
RXNX01017883	NW_022591866.1
RXNX01017884	NW_022591867.1
RXNX01017885	NW_022591868.1
RXNX01017890	NW_022591871.1
RXNX01017891	NW_022591872.1
RXNX01017894	NW_022591874.1
RXNX01017895	NW_022591875.1
RXNX01017896	NW_022591876.1
RXNX01017897	NW_022591877.1
RXNX01017898	NW_022591878.1
RXNX01017899	NW_022591879.1
RXNX01017900	NW_022591880.1
RXNX01017904	NW_022591882.1
RXNX01017905	NW_022591883.1
RXNX01017906	NW_022591884.1
RXNX01017907	NW_022591885.1
RXNX01017908	NW_022591886.1
RXNX01017909	NW_022591887.1
RXNX01017910	NW_022591888.1
RXNX01017911	NW_022591889.1
RXNX01017912	NW_022591890.1
RXNX01017915	NW_022591892.1
RXNX01017916	NW_022591893.1
RXNX01017917	NW_022591894.1
RXNX01017920	NW_022591896.1
RXNX01017921	NW_022591897.1
RXNX01017924	NW_022591899.1
RXNX01017925	NW_022591900.1
RXNX01017926	NW_022591901.1
RXNX01017927	NW_022591902.1
RXNX01017928	NW_022591903.1
RXNX01017931	NW_022591905.1
RXNX01017932	NW_022591906.1
RXNX01017935	NW_022591908.1
RXNX01017936	NW_022591909.1
RXNX01017937	NW_022591910.1
RXNX01017938	NW_022591911.1
RXNX01017939	NW_022591912.1
RXNX01017940	NW_022591913.1
RXNX01017941	NW_022591914.1
RXNX01017942	NW_022591915.1
RXNX01017943	NW_022591916.1
RXNX01017944	NW_022591917.1
RXNX01017945	NW_022591918.1
RXNX01017950	NW_022591921.1
