contig  chromosome
ML169683.1	NW_022590535.1
ML169684.1	NW_022590545.1
ML169685.1	NW_022590552.1
ML169686.1	NW_022590553.1
ML169687.1	NW_022590557.1
ML169688.1	NW_022590560.1
ML169689.1	NW_022590561.1
ML169690.1	NW_022590569.1
ML169691.1	NW_022590573.1
ML169692.1	NW_022590574.1
ML169693.1	NW_022590592.1
ML169694.1	NW_022590596.1
ML169695.1	NW_022590597.1
ML169696.1	NW_022590598.1
ML169697.1	NW_022590600.1
ML169698.1	NW_022590601.1
ML169699.1	NW_022590608.1
ML169700.1	NW_022590612.1
ML169701.1	NW_022590615.1
ML169702.1	NW_022590618.1
ML169703.1	NW_022590623.1
ML169704.1	NW_022590637.1
ML169705.1	NW_022590638.1
ML169706.1	NW_022590645.1
ML169707.1	NW_022590664.1
ML169708.1	NW_022590671.1
ML169709.1	NW_022590673.1
ML169710.1	NW_022590674.1
ML169711.1	NW_022590678.1
ML169712.1	NW_022590683.1
ML169713.1	NW_022590692.1
ML169714.1	NW_022590693.1
ML169715.1	NW_022590703.1
ML169716.1	NW_022590732.1
ML169717.1	NW_022590733.1
ML169718.1	NW_022590735.1
ML169719.1	NW_022590747.1
ML169720.1	NW_022590750.1
ML169721.1	NW_022590751.1
ML169722.1	NW_022590762.1
ML169723.1	NW_022590766.1
ML169724.1	NW_022590775.1
ML169725.1	NW_022590783.1
ML169726.1	NW_022590786.1
ML169727.1	NW_022590787.1
ML169728.1	NW_022590790.1
ML169729.1	NW_022590794.1
ML169730.1	NW_022590796.1
ML169731.1	NW_022590801.1
ML169732.1	NW_022590825.1
ML169733.1	NW_022590859.1
ML169734.1	NW_022590863.1
ML169735.1	NW_022590869.1
ML169736.1	NW_022590870.1
ML169737.1	NW_022590877.1
ML169738.1	NW_022590885.1
ML169739.1	NW_022590891.1
ML169740.1	NW_022590906.1
ML169741.1	NW_022590907.1
ML169742.1	NW_022590927.1
ML169743.1	NW_022590931.1
ML169744.1	NW_022590950.1
ML169745.1	NW_022590951.1
ML169746.1	NW_022590958.1
ML169747.1	NW_022590959.1
ML169748.1	NW_022590971.1
ML169749.1	NW_022590982.1
ML169750.1	NW_022590995.1
ML169751.1	NW_022591012.1
ML169752.1	NW_022591042.1
ML169753.1	NW_022591043.1
ML169754.1	NW_022591044.1
ML169755.1	NW_022591055.1
ML169756.1	NW_022591056.1
ML169757.1	NW_022591061.1
ML169758.1	NW_022591067.1
ML169759.1	NW_022591068.1
ML169760.1	NW_022591088.1
ML169761.1	NW_022591101.1
ML169762.1	NW_022591103.1
ML169763.1	NW_022591114.1
ML169764.1	NW_022591138.1
ML169765.1	NW_022591141.1
ML169766.1	NW_022591142.1
ML169767.1	NW_022591156.1
ML169768.1	NW_022591163.1
ML169769.1	NW_022591165.1
ML169770.1	NW_022591174.1
ML169771.1	NW_022591175.1
ML169772.1	NW_022591176.1
ML169773.1	NW_022591178.1
ML169774.1	NW_022591183.1
ML169775.1	NW_022591190.1
ML169776.1	NW_022591191.1
ML169777.1	NW_022591192.1
ML169778.1	NW_022591197.1
ML169779.1	NW_022591202.1
ML169780.1	NW_022591229.1
ML169781.1	NW_022591230.1
ML169782.1	NW_022591236.1
ML169783.1	NW_022591243.1
ML169784.1	NW_022591254.1
ML169785.1	NW_022591267.1
ML169786.1	NW_022591268.1
ML169787.1	NW_022591285.1
ML169788.1	NW_022591290.1
ML169789.1	NW_022591298.1
